language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.90  T=73.64 s (20.2 files/s, 7683.0 lines/s)"
HTML,.\Engine\Dependencies\GLEW\doc\wglew.html,12,32,126
Python,.\Engine\Dependencies\Mono\lib\ironpython\Lib\iptest\console_util.py,28,50,125
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\FSharp.Compiler.Interactive.Settings.xml,2,0,125
C++,.\Engine\Dependencies\Vendor\glm\gtx\extended_min_max.inl,12,1,125
INI,.\Party_Pantry\imgui.ini,25,0,125
Bourne Again Shell,.\Engine\Dependencies\Mono\bin\mono-find-requires,24,44,124
Bourne Again Shell,.\Engine\Dependencies\Mono\bina\mono-find-requires,24,44,124
C/C++ Header,.\Engine\Dependencies\Mono\include\mono-2.0\mono\utils\mono-publib.h,39,31,124
C++,.\Engine\Dependencies\Vendor\glm\detail\func_exponential.inl,20,9,123
C/C++ Header,.\Engine\Dependencies\Mono\include\mono-2.0\mono\metadata\exception.h,49,7,122
C/C++ Header,.\Engine\Dependencies\Mono\include\mono-2.0\mono\metadata\profiler.h,24,103,122
C/C++ Header,.\Engine\Dependencies\Gizmo\ImGuizmo.h,20,82,121
C++,.\Engine\Dependencies\Vendor\glm\detail\type_half.inl,40,80,121
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_quat.hpp,43,22,121
C/C++ Header,.\Engine\Dependencies\Vendor\glm\gtx\dual_quaternion.hpp,64,89,121
C++,.\Engine\Dependencies\Vendor\glm\gtx\matrix_interpolation.inl,7,1,121
XML,.\Engine\Dependencies\Mono\lib\mono\4.5\Microsoft.CSharp.targets,16,6,120
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_mat2x2.hpp,46,11,120
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\ftcache.h,86,882,119
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_mat4x2.hpp,41,11,119
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_mat4x3.hpp,41,11,119
C/C++ Header,.\Engine\Dependencies\Vendor\glm\gtx\associated_min_max.hpp,28,60,119
C++,.\Engine\Dependencies\Vendor\glm\gtc\round.inl,24,13,118
C++,.\Engine\Dependencies\Vendor\glm\detail\type_quat_simd.inl,23,48,117
C++,.\Engine\Dependencies\Vendor\glm\gtx\color_space.inl,17,7,117
XML,.\Party_Pantry\Party_Pantry.vcxproj,0,0,117
